road,id,model_type,name,lat,lon,length,condition
N1,1000198,link,link 99,170.725,170.725,0.8290000000000077,
N1,1000199,bridge,bridge 100,22.8609876872509,91.5451551717131,4.3,A
N1,1000200,link,link 100,171.554,171.554,0.1740000000000066,
N1,1000201,bridge,bridge 101,22.8594847882591,91.5454799987854,2.0,A
N1,1000202,link,link 101,171.728,171.728,0.39400000000000546,
N1,1000203,bridge,bridge 102,22.8560565672727,91.5457188709091,1.5,A
N1,1000204,link,link 102,172.122,172.122,0.10799999999997567,
N1,1000205,bridge,bridge 103,22.8551475327433,91.5458221849557,1.5,A
N1,1000206,link,link 103,172.23,172.23,0.7390000000000043,
N1,1000207,bridge,bridge 104,22.8486172764705,91.5463706117647,8.5,A
N1,1000208,link,link 104,172.969,172.969,0.3810000000000002,
N1,1000209,bridge,bridge 105,22.8453914894736,91.5474689210526,3.0,A
N1,1000210,link,link 105,173.35,173.35,0.23500000000001364,
N1,1000211,bridge,bridge 106,22.8434551375,91.54814955625,1.5,A
N1,1000212,link,link 106,173.585,173.585,0.2740000000000009,
N1,1000213,bridge,bridge 107,22.8410943334277,91.5488096951841,3.0,A
N1,1000214,link,link 107,173.859,173.859,0.9449999999999932,
N1,1000215,bridge,bridge 108,22.8327467692419,91.5501035014577,3.0,A
N1,1000216,link,link 108,174.804,174.804,0.20900000000000318,
N1,1000217,bridge,bridge 109,22.8309613422018,91.5505028545871,4.5,A
N1,1000218,link,link 109,175.013,175.013,4.349999999999994,
N1,1000219,bridge,bridge 110,22.7941813523326,91.5629612622718,4.5,A
N1,1000220,link,link 110,179.363,179.363,2.461999999999989,
N1,1000221,bridge,bridge 111,22.774197092,91.5728737519999,6.0,A
N1,1000222,link,link 111,181.825,181.825,0.4930000000000234,
